code,Title,,,
,وظائف التفكير المفتوح,R17-Title,,
1111,التفكير الإبداعي,R17,,
1112,التفكير الإبداعي,R17,,
1113,التفكير الإبداعي,R17,,
1121,اللمسة الفنية,R17,,
1122,اللمسة الفنية,R17,,
1123,اللمسة الفنية,R17,,
1131,التحفيز الذاتي,R17,,
1132,التحفيز الذاتي,R17,,
1133,التحفيز الذاتي,R17,,
1141,تطوير المفاهيم والتصورات,R17,,
1142,تطوير المفاهيم والتصورات,R17,,
1143,تطوير المفاهيم والتصورات,R17,,
1151,إنتاج أفكار أصلية,R17,,
1152,إنتاج أفكار أصلية,R17,,
1153,إنتاج أفكار أصلية,R17,,
,وظائف التفكير المنظم,R18-Title,,
1261,التفكير التحليلي,R18,,
1262,التفكير التحليلي,R18,,
1263,التفكير التحليلي,R18,,
1271,الإنتباه إلي التفاصيل,R18,,
1272,الإنتباه إلي التفاصيل,R18,,
1273,الإنتباه إلي التفاصيل,R18,,
1281,الاستدلال المنطقي,R18,,
1282,الاستدلال المنطقي,R18,,
1283,الاستدلال المنطقي,R18,,
1291,التخطيط المنهجي,R18,,
1292,التخطيط المنهجي,R18,,
1293,التخطيط المنهجي,R18,,
12101,رفع كفائه الأنظمة,R18,,
12102,رفع كفائه الأنظمة,R18,,
12103,رفع كفائه الأنظمة,R18,,
,وظائف التفكير المرجعي,R19-Title,,
13111,استيعاب العلوم الأكاديمية,R19,,
13112,استيعاب العلوم الأكاديمية,R19,,
13113,استيعاب العلوم الأكاديمية,R19,,
13121,مهارات البحث,R19,,
13122,مهارات البحث,R19,,
13123,مهارات البحث,R19,,
13131,رصد وتحليل المشكلات,R19,,
13132,رصد وتحليل المشكلات,R19,,
13133,رصد وتحليل المشكلات,R19,,
13141,التفكير التكاملي بين العلوم,R19,,
13142,التفكير التكاملي بين العلوم,R19,,
13143,التفكير التكاملي بين العلوم,R19,,
13151,التفسير المرجعي للحالات,R19,,
13152,التفسير المرجعي للحالات,R19,,
13153,التفسير المرجعي للحالات,R19,,
,وظائف التفكير النقدي,R20-Title,,
14161,التقييم النقدي,R20,,
14162,التقييم النقدي,R20,,
14163,التقييم النقدي,R20,,
14171,اقتراح الحلول والبدائل,R20,,
14172,اقتراح الحلول والبدائل,R20,,
14173,اقتراح الحلول والبدائل,R20,,
14181,مراقبة الجودة,R20,,
14182,مراقبة الجودة,R20,,
14183,مراقبة الجودة,R20,,
14191,تقييم المخاطر,R20,,
14192,تقييم المخاطر,R20,,
14193,تقييم المخاطر,R20,,
